59 Abby 259 71 92 96 11 8 2001 
60 Abbye 268 86 90 92 16 5 2001 
61 Aaren 231 67 78 86 14 8 2001 
62 Aarika 233 62 95 76 8 2 2003 
63 Abagael 212 60 83 69 1 8 2001 
64 Abagail 204 91 59 54 14 12 2001 
65 Abbe 190 56 55 79 22 9 2002 
66 Abbey 179 54 73 52 12 12 2003 
67 Abbi 255 77 83 95 6 4 2003 
68 Abbie 257 93 77 87 18 5 2002 
69 Abby 198 53 70 75 17 2 2002 
70 Abbye 211 67 67 77 25 11 2003 
71 Aaren 178 61 64 53 11 11 2003 
72 Aarika 238 77 96 65 23 2 2001 
73 Abagael 239 72 95 72 4 12 2001 
74 Abagail 198 75 69 54 25 3 2003 
75 Abbe 223 62 77 84 13 10 2003 
76 Abbey 201 63 51 87 5 12 2002 
77 Abbi 239 63 85 91 20 10 2003 
78 Abbie 280 91 89 100 28 6 2003 
79 Abby 281 100 88 93 3 8 2001 
80 Abbye 202 59 70 73 10 6 2003 
81 Aaren 287 91 97 99 20 8 2001 
82 Aarika 215 77 85 53 18 2 2001 
83 Abagael 215 59 84 72 26 1 2002 
84 Abagail 204 70 53 81 20 4 2001 
85 Abbe 245 76 93 76 5 12 2001 
86 Abbey 213 85 76 52 14 8 2003 
87 Abbi 196 58 81 57 13 4 2001 
88 Abbie 228 75 95 58 25 10 2003 
89 Abby 252 94 91 67 28 1 2001 
90 Abbye 224 59 91 74 22 8 2003 
91 Aaren 276 96 82 98 28 9 2001 
92 Aarika 259 88 99 72 21 2 2003 
93 Abagael 234 64 76 94 5 7 2003 
94 Abagail 239 89 98 52 27 11 2001 
95 Abbe 248 90 97 61 7 5 2001 
96 Abbey 233 99 77 57 15 6 2001 
97 Abbi 240 92 82 66 25 6 2002 
98 Abbie 222 86 74 62 12 12 2002 
99 Abby 234 100 69 65 1 8 2003 
100 Abbye 205 51 86 68 2 12 2001 
101 Aaren 229 90 64 75 16 6 2001 
102 Aarika 268 84 86 98 19 2 2002 
103 Abagael 253 98 80 75 26 5 2002 
104 Abagail 174 58 55 61 13 8 2003 
105 Abbe 221 77 70 74 5 6 2002 
106 Abbey 244 87 84 73 28 4 2001 
107 Abbi 226 90 62 74 28 9 2001 
108 Abbie 216 64 69 83 25 3 2002 
109 Abby 262 90 85 87 15 11 2003 
110 Abbye 222 62 68 92 12 2 2003 
111 Aaren 177 52 68 57 17 3 2001 
112 Aarika 245 99 71 75 10 2 2001 
113 Abagael 223 97 72 54 26 8 2001 
114 Abagail 283 98 94 91 11 3 2001 
115 Abbe 262 86 87 89 7 12 2001 
116 Abbey 244 83 73 88 9 3 2003 
117 Abbi 203 51 75 77 25 8 2002 
118 Abbie 210 62 68 80 9 12 2003 
119 Abby 230 66 94 70 26 4 2003 
120 Abbye 223 69 56 98 4 2 2002 
121 Aaren 229 52 85 92 9 3 2001 
122 Aarika 232 95 84 53 6 4 2003 
123 Abagael 256 90 85 81 14 9 2002 
124 Abagail 274 91 92 91 6 7 2002 
125 Abbe 213 53 81 79 2 9 2003 
126 Abbey 252 89 64 99 18 12 2003 
127 Abbi 267 92 84 91 4 8 2002 
128 Abbie 237 77 94 66 21 9 2003 
129 Abby 206 62 59 85 16 7 2002 
130 Abbye 268 82 98 88 8 1 2001 
131 Aaren 227 95 57 75 11 4 2002 
132 Aarika 221 56 81 84 21 10 2001 
133 Abagael 233 74 82 77 17 4 2002 
134 Abagail 228 78 86 64 21 8 2003 
135 Abbe 254 66 91 97 14 3 2003 
136 Abbey 283 94 100 89 15 1 2002 
137 Abbi 226 53 75 98 8 11 2002 
138 Abbie 261 98 100 63 27 6 2003 
139 Abby 186 70 56 60 16 10 2003 
140 Abbye 217 94 68 55 1 4 2002 
141 Aaren 210 68 88 54 1 5 2002 
142 Aarika 230 73 87 70 18 7 2001 
143 Abagael 198 63 66 69 11 5 2001 
144 Abagail 205 62 91 52 4 11 2002 
145 Abbe 236 61 91 84 20 9 2001 
146 Abbey 221 65 72 84 19 11 2003 
147 Abbi 213 70 75 68 17 2 2001 
148 Abbie 263 96 100 67 7 5 2002 
149 Abby 237 53 94 90 7 10 2003 
150 Abbye 239 62 78 99 24 3 2001 
151 Aaren 221 51 95 75 23 2 2001 
152 Aarika 222 79 67 76 18 10 2002 
153 Abagael 215 76 71 68 12 1 2001 
154 Abagail 250 90 76 84 8 9 2003 
155 Abbe 271 97 87 87 15 9 2001 
156 Abbey 206 62 51 93 27 4 2003 
157 Abbi 235 100 82 53 26 8 2003 
158 Abbie 226 100 67 59 14 3 2002 
159 Abby 177 70 52 55 17 2 2003 
160 Abbye 212 57 99 56 7 10 2003 
161 Aaren 221 56 70 95 19 6 2002 
162 Aarika 224 90 71 63 15 9 2003 
163 Abagael 265 85 92 88 25 7 2002 
164 Abagail 251 92 98 61 13 2 2002 
165 Abbe 194 83 56 55 5 12 2001 
166 Abbey 248 89 85 74 11 9 2002 
167 Abbi 256 78 89 89 7 2 2001 
168 Abbie 248 77 83 88 3 2 2003 
169 Abby 240 74 99 67 1 12 2001 
170 Abbye 193 52 88 53 4 11 2003 
171 Aaren 227 74 81 72 23 5 2003 
172 Aarika 243 100 56 87 1 1 2002 
173 Abagael 252 73 90 89 9 11 2003 
174 Abagail 227 88 75 64 27 5 2002 
175 Abbe 239 79 63 97 19 5 2001 
176 Abbey 236 86 99 51 25 2 2002 
177 Abbi 199 69 74 56 25 8 2002 
178 Abbie 228 64 92 72 15 9 2003 
179 Abby 239 60 84 95 6 1 2003 
180 Abbye 236 71 90 75 19 5 2001 
181 Aaren 211 81 58 72 13 3 2001 
182 Aarika 231 68 63 100 27 4 2002 
183 Abagael 201 64 61 76 14 5 2003 
184 Abagail 230 87 76 67 6 1 2003 
185 Abbe 243 89 72 82 13 7 2002 
186 Abbey 205 56 85 64 26 5 2001 
187 Abbi 233 70 93 70 21 8 2003 
188 Abbie 263 83 92 88 8 6 2002 
189 Abby 228 73 67 88 16 7 2001 
190 Abbye 284 98 86 100 9 11 2001 
191 Aaren 214 53 89 72 8 11 2001 
192 Aarika 205 87 60 58 19 9 2003 
193 Abagael 210 88 67 55 25 7 2001 
194 Abagail 263 80 92 91 25 3 2003 
195 Abbe 209 84 59 66 12 3 2002 
196 Abbey 224 79 82 63 23 12 2003 
197 Abbi 241 75 84 82 27 3 2001 
198 Abbie 243 77 79 87 2 5 2002 
199 Abby 180 54 60 66 13 2 2001 
200 Abbye 264 94 84 86 13 6 2002 
201 Aaren 194 79 52 63 15 3 2001 
202 Aarika 228 82 90 56 27 8 2001 
203 Abagael 245 100 70 75 27 9 2002 
204 Abagail 252 95 89 68 5 10 2002 
205 Abbe 210 65 92 53 12 5 2003 
206 Abbey 225 63 95 67 2 1 2002 
207 Abbi 217 63 85 69 27 9 2001 
208 Abbie 212 75 83 54 12 10 2003 
209 Abby 228 71 76 81 18 4 2003 
210 Abbye 206 63 80 63 26 5 2003 
211 Aaren 242 99 68 75 19 11 2002 
212 Aarika 230 99 65 66 25 8 2002 
213 Abagael 214 51 73 90 8 5 2002 
214 Abagail 236 85 72 79 3 1 2003 
215 Abbe 182 59 68 55 26 8 2002 
216 Abbey 185 52 67 66 9 12 2003 
217 Abbi 238 81 64 93 10 3 2001 
218 Abbie 224 93 80 51 2 6 2003 
219 Abby 165 52 62 51 18 1 2003 
220 Abbye 218 79 80 59 16 9 2001 
221 Aaren 245 70 96 79 5 11 2001 
222 Aarika 261 97 75 89 2 12 2003 
223 Abagael 225 79 78 68 22 3 2001 
224 Abagail 243 74 81 88 7 5 2001 
225 Abbe 225 62 91 72 26 8 2002 
226 Abbey 238 76 86 76 3 3 2003 
227 Abbi 191 61 58 72 14 2 2002 
228 Abbie 258 91 98 69 11 5 2001 
229 Abby 203 56 84 63 25 7 2003 
230 Abbye 251 90 85 76 13 5 2001 
231 Aaren 248 99 67 82 8 3 2002 
232 Aarika 239 91 87 61 7 10 2003 
233 Abagael 274 89 94 91 15 11 2002 
234 Abagail 222 56 91 75 14 2 2002 
235 Abbe 264 85 100 79 18 8 2002 
236 Abbey 213 68 89 56 24 12 2003 
237 Abbi 256 66 95 95 25 4 2002 
238 Abbie 222 84 56 82 15 5 2001 
239 Abby 226 74 52 100 14 3 2003 
240 Abbye 212 74 77 61 28 12 2002 
241 Aaren 246 67 91 88 10 1 2003 
242 Aarika 200 69 59 72 12 2 2003 
243 Abagael 237 84 57 96 25 5 2001 
244 Abagail 246 97 81 68 21 9 2002 
245 Abbe 263 81 87 95 3 10 2002 
246 Abbey 260 87 93 80 27 5 2002 
247 Abbi 281 83 100 98 18 12 2003 
248 Abbie 201 74 70 57 7 3 2003 
249 Abby 202 71 63 68 22 11 2002 
250 Abbye 211 57 59 95 24 2 2002 
251 Aaren 212 76 54 82 25 7 2002 
252 Aarika 204 55 92 57 9 4 2002 
253 Abagael 188 59 65 64 5 11 2003 
254 Abagail 220 62 77 81 10 10 2002 
255 Abbe 226 92 76 58 3 5 2001 
256 Abbey 235 53 98 84 24 2 2002 
257 Abbi 218 74 54 90 19 3 2001 
258 Abbie 281 83 100 98 20 1 2001 
259 Abby 208 74 82 52 28 5 2003 
260 Abbye 219 91 76 52 4 1 2001 
261 Aaren 233 84 62 87 27 7 2003 
262 Aarika 226 77 80 69 8 3 2002 
263 Abagael 208 68 69 71 9 5 2003 
264 Abagail 215 62 55 98 19 9 2001 
265 Abbe 247 74 92 81 8 1 2003 
266 Abbey 226 81 67 78 23 8 2002 
267 Abbi 230 60 74 96 3 12 2003 
268 Abbie 228 69 94 65 23 3 2003 
269 Abby 215 68 91 56 9 7 2003 
270 Abbye 240 78 73 89 19 6 2001 
271 Aaren 237 74 97 66 20 4 2003 
272 Aarika 255 93 100 62 8 12 2001 
273 Abagael 202 57 77 68 6 8 2003 
274 Abagail 247 64 89 94 18 6 2002 
275 Abbe 241 88 58 95 18 11 2002 
276 Abbey 210 93 60 57 10 1 2003 
277 Abbi 199 66 63 70 22 10 2002 
278 Abbie 232 100 71 61 16 12 2002 
279 Abby 201 56 58 87 8 1 2002 
280 Abbye 196 56 84 56 12 1 2001 
281 Aaren 195 61 66 68 15 2 2001 
282 Aarika 262 73 91 98 10 3 2003 
283 Abagael 221 51 86 84 25 11 2003 
284 Abagail 226 77 60 89 5 4 2003 
285 Abbe 227 84 59 84 11 11 2001 
286 Abbey 255 94 94 67 28 1 2002 
287 Abbi 217 75 90 52 24 3 2001 
288 Abbie 198 55 92 51 26 2 2003 
289 Abby 236 92 68 76 28 8 2002 
290 Abbye 204 66 75 63 4 12 2003 
291 Aaren 248 79 86 83 23 8 2003 
292 Aarika 253 58 95 100 4 11 2003 
293 Abagael 216 98 61 57 14 4 2001 
294 Abagail 266 91 93 82 16 1 2002 
295 Abbe 178 64 53 61 18 3 2001 
296 Abbey 261 79 84 98 23 12 2003 
297 Abbi 237 69 80 88 11 7 2001 
298 Abbie 223 98 68 57 17 9 2001 
299 Abby 220 79 74 67 6 6 2001 
300 Abbye 195 80 59 56 19 6 2002 
301 Aaren 244 58 88 98 19 6 2001 
302 Aarika 224 90 68 66 5 5 2001 
303 Abagael 230 53 81 96 16 12 2002 
304 Abagail 215 66 53 96 21 1 2001 
305 Abbe 257 87 85 85 14 4 2001 
306 Abbey 256 72 85 99 27 8 2003 
307 Abbi 232 75 71 86 4 9 2003 
308 Abbie 217 62 87 68 18 12 2003 
309 Abby 191 53 55 83 27 3 2003 
310 Abbye 226 52 74 100 13 6 2003 
311 Aaren 206 57 81 68 15 7 2003 
312 Aarika 205 71 51 83 8 6 2002 
313 Abagael 223 89 62 72 2 1 2001 
314 Abagail 232 80 90 62 26 12 2001 
315 Abbe 252 90 72 90 12 1 2003 
316 Abbey 238 85 61 92 1 9 2002 
317 Abbi 264 95 93 76 12 3 2002 
318 Abbie 249 86 88 75 4 5 2003 
319 Abby 250 89 100 61 15 7 2001 
320 Abbye 218 70 66 82 28 2 2002 
321 Aaren 265 94 98 73 5 1 2001 
322 Aarika 209 57 57 95 3 6 2002 
323 Abagael 220 79 86 55 22 11 2001 
324 Abagail 251 79 83 89 9 8 2001 
325 Abbe 184 68 56 60 14 12 2001 
326 Abbey 208 72 85 51 4 5 2003 
327 Abbi 207 54 84 69 5 10 2002 
328 Abbie 227 71 69 87 9 2 2001 
329 Abby 273 92 95 86 16 8 2002 
330 Abbye 219 70 80 69 13 11 2002 
331 Aaren 250 65 97 88 22 6 2003 
332 Aarika 209 58 84 67 1 2 2002 
333 Abagael 247 90 82 75 28 10 2003 
334 Abagail 223 88 52 83 9 4 2003 
335 Abbe 181 56 74 51 12 10 2001 
336 Abbey 200 57 67 76 15 3 2003 
337 Abbi 248 71 83 94 5 1 2003 
338 Abbie 196 64 74 58 7 12 2003 
339 Abby 249 64 96 89 17 2 2002 
340 Abbye 205 73 64 68 19 5 2002 
341 Aaren 250 72 83 95 28 3 2002 
342 Aarika 191 62 66 63 18 11 2001 
343 Abagael 217 68 76 73 23 10 2003 
344 Abagail 241 92 84 65 6 12 2001 
345 Abbe 231 85 57 89 6 6 2003 
346 Abbey 231 63 89 79 11 4 2003 
347 Abbi 223 68 55 100 25 5 2002 
348 Abbie 242 88 89 65 21 2 2002 
349 Abby 206 69 76 61 11 8 2003 
350 Abbye 163 57 52 54 14 10 2001 
351 Aaren 228 97 70 61 14 6 2003 
352 Aarika 231 54 85 92 27 9 2002 
353 Abagael 191 62 65 64 24 12 2003 
354 Abagail 243 74 97 72 6 6 2002 
355 Abbe 215 61 76 78 20 1 2002 
356 Abbey 247 52 98 97 12 3 2001 
357 Abbi 193 65 67 61 2 2 2003 
358 Abbie 222 62 66 94 8 9 2002 
359 Abby 201 76 68 57 8 2 2001 
360 Abbye 244 84 73 87 5 8 2001 
361 Aaren 222 61 81 80 6 5 2002 
362 Aarika 230 61 86 83 10 5 2003 
363 Abagael 232 88 79 65 5 11 2001 
364 Abagail 227 72 89 66 8 6 2003 
365 Abbe 221 51 70 100 24 10 2001 
366 Abbey 204 70 77 57 20 1 2003 
367 Abbi 201 53 77 71 27 12 2001 
368 Abbie 249 93 91 65 2 12 2001 
369 Abby 220 74 75 71 8 3 2003 
370 Abbye 274 91 87 96 22 6 2002 
371 Aaren 275 99 90 86 23 4 2003 
372 Aarika 232 57 77 98 22 9 2002 
373 Abagael 211 66 72 73 13 1 2002 
374 Abagail 177 63 60 54 15 3 2002 
375 Abbe 222 68 55 99 24 1 2003 
376 Abbey 239 83 78 78 11 12 2003 
377 Abbi 240 69 75 96 20 12 2001 
378 Abbie 180 52 65 63 6 1 2001 
379 Abby 263 79 86 98 8 10 2003 
380 Abbye 190 67 68 55 12 7 2003 
381 Aaren 292 100 100 92 17 1 2003 
382 Aarika 226 74 83 69 7 12 2001 
383 Abagael 188 58 70 60 15 4 2001 
384 Abagail 207 54 60 93 12 1 2002 
385 Abbe 222 57 93 72 16 4 2001 
386 Abbey 199 53 58 88 4 5 2003 
387 Abbi 252 63 97 92 3 3 2001 
388 Abbie 261 90 100 71 25 5 2001 
389 Abby 230 58 90 82 22 10 2003 
390 Abbye 238 91 74 73 13 7 2003 
391 Aaren 225 75 63 87 9 7 2002 
392 Aarika 223 90 70 63 25 6 2003 
393 Abagael 247 90 64 93 13 8 2002 
394 Abagail 206 56 56 94 8 3 2002 
395 Abbe 219 90 57 72 14 7 2001 
396 Abbey 202 84 56 62 15 11 2002 
397 Abbi 244 94 57 93 10 2 2001 
398 Abbie 279 93 90 96 13 3 2002 
399 Abby 168 53 51 64 13 4 2003 
400 Abbye 227 60 87 80 26 5 2002 
401 Aaren 240 86 100 54 2 7 2003 
402 Aarika 231 61 99 71 1 2 2003 
403 Abagael 232 67 90 75 9 1 2002 
404 Abagail 169 52 56 61 26 3 2002 
405 Abbe 222 81 83 58 19 10 2003 
406 Abbey 221 79 51 91 1 6 2003 
407 Abbi 256 70 96 90 10 9 2001 
408 Abbie 183 74 57 52 19 1 2001 
409 Abby 236 71 65 100 23 8 2003 
410 Abbye 202 67 81 54 2 10 2003 
411 Aaren 238 94 81 63 9 2 2001 
412 Aarika 236 51 92 93 4 9 2001 
413 Abagael 226 98 58 70 17 10 2001 
414 Abagail 213 66 73 74 6 7 2002 
415 Abbe 248 84 84 80 16 9 2003 
416 Abbey 257 95 91 71 5 2 2001 
417 Abbi 222 55 88 79 3 2 2002 
418 Abbie 259 87 75 97 2 1 2003 
419 Abby 214 63 66 85 14 9 2003 
420 Abbye 227 81 65 81 23 6 2002 
421 Aaren 247 97 98 52 24 1 2003 
422 Aarika 223 90 56 77 2 5 2001 
423 Abagael 227 87 68 72 6 5 2003 
424 Abagail 219 70 70 79 15 7 2003 
425 Abbe 226 61 91 74 26 7 2001 
426 Abbey 252 74 87 91 16 1 2001 
427 Abbi 239 69 90 80 10 4 2001 
428 Abbie 240 71 69 100 1 4 2003 
429 Abby 244 85 82 77 23 7 2002 
430 Abbye 262 97 91 74 20 6 2001 
431 Aaren 216 75 52 89 7 7 2002 
432 Aarika 204 75 53 76 14 4 2002 
433 Abagael 225 54 89 82 28 4 2003 
434 Abagail 170 64 54 52 3 5 2001 
435 Abbe 239 92 94 53 15 2 2002 
436 Abbey 195 82 55 58 1 8 2001 
437 Abbi 172 57 64 51 2 1 2002 
438 Abbie 222 68 68 86 11 5 2003 
439 Abby 210 66 73 71 21 6 2002 
440 Abbye 274 87 99 88 18 5 2003 
441 Aaren 205 71 57 77 12 8 2002 
442 Aarika 271 99 80 92 19 7 2001 
443 Abagael 231 74 99 58 8 11 2001 
444 Abagail 244 95 81 68 27 4 2003 
445 Abbe 269 89 84 96 16 8 2001 
446 Abbey 242 68 96 78 4 11 2003 
447 Abbi 252 97 58 97 7 4 2003 
448 Abbie 253 65 88 100 11 1 2002 
449 Abby 239 67 100 72 21 4 2002 
450 Abbye 222 71 55 96 14 11 2002 
451 Aaren 214 86 62 66 9 11 2003 
452 Aarika 253 91 81 81 12 9 2002 
453 Abagael 222 52 83 87 10 10 2003 
454 Abagail 201 62 80 59 15 6 2001 
455 Abbe 236 76 74 86 17 11 2002 
456 Abbey 237 87 79 71 9 12 2002 
457 Abbi 266 88 80 98 17 2 2002 
458 Abbie 231 77 94 60 5 3 2002 
459 Abby 195 64 70 61 23 11 2003 
460 Abbye 204 54 74 76 3 2 2001 
461 Aaren 263 92 82 89 14 12 2003 
462 Aarika 257 96 87 74 26 1 2003 
463 Abagael 272 76 99 97 27 1 2002 
464 Abagail 257 79 84 94 15 1 2002 
465 Abbe 217 53 86 78 9 11 2002 
466 Abbey 207 83 73 51 1 9 2003 
467 Abbi 237 76 96 65 9 11 2003 
468 Abbie 258 92 100 66 21 11 2003 
469 Abby 242 86 83 73 9 2 2002 
470 Abbye 244 94 54 96 22 10 2003 
471 Aaren 237 68 80 89 22 4 2002 
472 Aarika 199 54 56 89 24 8 2002 
473 Abagael 218 85 71 62 27 3 2003 
474 Abagail 207 56 59 92 9 8 2003 
475 Abbe 195 70 60 65 17 2 2001 
476 Abbey 250 83 79 88 10 3 2003 
477 Abbi 249 97 96 56 25 6 2003 
478 Abbie 199 83 63 53 3 9 2003 
479 Abby 287 92 97 98 18 2 2003 
480 Abbye 217 65 98 54 5 10 2002 
481 Aaren 174 54 57 63 4 5 2001 
482 Aarika 214 67 81 66 6 11 2003 
483 Abagael 214 58 89 67 28 1 2003 
484 Abagail 184 52 70 62 14 7 2001 
485 Abbe 242 69 89 84 16 1 2001 
486 Abbey 265 80 89 96 4 2 2001 
487 Abbi 233 55 89 89 5 10 2001 
488 Abbie 181 63 57 61 17 8 2002 
489 Abby 214 68 84 62 13 11 2001 
490 Abbye 241 55 89 97 3 5 2002 
491 Aaren 256 89 82 85 2 4 2003 
492 Aarika 204 61 87 56 1 8 2001 
493 Abagael 237 63 74 100 28 1 2003 
494 Abagail 252 83 95 74 10 2 2002 
495 Abbe 204 55 85 64 22 10 2002 
496 Abbey 174 63 54 57 13 12 2003 
497 Abbi 277 91 93 93 6 11 2001 
498 Abbie 193 64 52 77 25 3 2002 
499 Abby 229 71 83 75 11 11 2002 
500 Abbye 206 93 59 54 4 1 2001 
